epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,252.367,0.43145,0.8,1,0.31169,0.00045009,0.00045009,0.00045009
2,493.641,0.18816,0.9,1,0.39946,0.000735314,0.000735314,0.000735314
3,737.754,0.2076,0.9,1,0.47754,0.0008357,0.0008357,0.0008357
4,981.73,0.14649,0.9,1,0.17404,0.000676802,0.000676802,0.000676802
5,1227.58,0.08106,0.9,1,0.17692,0.000346736,0.000346736,0.000346736
