epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.3347,0.57198,0.9,1,0.45849,0.00045009,0.00045009,0.00045009
2,51.3649,0.2689,0.9,1,0.38161,0.000735314,0.000735314,0.000735314
3,76.1094,0.20408,0.8,1,0.35666,0.0008357,0.0008357,0.0008357
4,100.532,0.17298,0.9,1,0.22241,0.000676802,0.000676802,0.000676802
5,125.181,0.14337,1,1,0.17169,0.000346736,0.000346736,0.000346736
